Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium 룩셈부르크,14400,14500,14500,14900,14600,16500,15400,16500,18700,19800,22000,21100,23400,24300,28300,30800,32600,32500,32000,33700,35900,35300,37600,40000,39600,40800,48651,49775,39600,39000,40800,41200,41460,41820,38070,38556,38880,39017,38544,36709
Belgium,205500,199500,199500,203500,224268,221243,231396,230257,218949,212174,223783,243791,246667,223342,211870,195880,222350,206021,196882,203333,203489,215240,211855,207737,206103,204468,216478,217784,224231,226294,226677,222168,222156,228913,223193,229648,228335,226859,233460,229610
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,495100,410700,384000,315600,276600,255800,270700,262100,212500,230900,226500,211400,223800,255800,271800,274400,268900,307900,308100,297800,293000,315700,295500,339000,327200,317300,326000,328100
Bulgaria,310774,317783,282404,290861,319230,326233,326285,326015,316560,305443,322614,381455,359352,373273,355264,356628,361512,339600,303400,281200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,275360,285250,305388,275170,280931,267156,286979,287977,285037,261801,281634,272282,262280,249973,257670,267877,278362,281536,277310,263750
Czech Republic,-,-,-,-,-,-,-,-,-,-,-,-,27000,26000,21000,15900,13000,13343,16200,15000,16300,13700,16000,17700,19313,23583,22378,23809,26335,23363,23390,22424,22900,16415,11429,22849,15958,15530,11543,11933
Denmark,119911,118116,123843,126128,127900,132367,127724,126847,119699,122790,119662,106485,131797,114000,86800,63302,77829,55517,54500,61100,60400,21450,23649,28512,30767,29783,22727,21703,19929,21921,19610,20886,20377,19107,17210,18548,17469,17113,16120,17770
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,36778,33824,28346,25838,21517,26276,25691,27614,27854,25570,26602,28150,31507,32800,36230,33400,35700,36800,37500,36200,47100,47400,44300,42000,44709,42562,43780,45430
Faroe Islands,-,-,-,-,-,-,-,-,-,-,-,-,-,216241,170158,169512,163515,155706,134461,120690,108161,106045,109494,108126,96660,81031,79187,79328,80020,77026,74259,72125,66060,65322,66151,69014,72794,67714,72940,74450
Finland,245299,237000,230300,239400,246708,236473,243151,234603,216730,204517,201699,212536,217000,203100,189300,181700,178000,174800,161800,156588,153900,153400,153500,146500,150000,135921,128650,129986,128800,127900,132500,134200,126700,128000,125759,120491,129340,124148,130200,125600
France,-,-,-,-,-,-,-,-,-,-,-,-,45362,42567,31035,25776,22114,18983,19300,21739,15383,14159,16508,13149,15242,13431,14829,15422,14277,14172,12926,12187,12275,11481,9800,12600,14800,11900,9760,9250
